gene_names,bl41,C8166,CEM A 301,CEM SS,CEM X 174,DAUDI,HSB2,HT1080,IMR90,JURKAT E6.1,Jurkat tag,MT4,RAJI,RAMOS,WI38
ANAPC10,608,404,14,683,72,493,528,187,544,935,1181,448,829,333,321
ABCE1,4500,2963,136,4912,546,3205,2958,1286,3536,5503,7830,2418,4981,2562,1797
OTUD4,2112,897,62,1704,179,1823,1573,985,1908,3003,2470,1321,2588,1369,1857
LSM6,442,993,16,709,95,568,504,130,250,744,976,633,613,383,108
TMEM184C,659,470,23,655,109,389,516,322,1816,1019,951,441,793,392,1534
PRMT9,396,334,15,451,35,372,379,109,431,711,864,410,579,299,456
ITGA2,25,68,5,18,3,16,371,9685,10195,252,145,167,7,9,8809
MOCS2,342,219,10,327,41,283,275,247,808,809,677,232,428,220,861
SLC45A2,0,2,0,0,0,2,1,0,2,18,3,0,0,1,1
EDIL3,1,2,0,9,2,0,6,391,6819,9,7,299,0,0,4760
TMEM161B,757,454,33,1195,295,898,972,436,549,1490,1125,870,967,796,533
ELOVL7,0,9,1,1,4,2,0,78,2,35,91,45,1,2,0
NDUFAF2,487,468,24,573,155,306,237,210,678,370,643,245,851,230,355
ZNF474,0,0,0,5,0,0,0,1,19,8,1,1,0,1,3
LMBRD2,555,172,7,835,99,562,545,145,1031,1280,735,506,511,533,673
RANBP3L,60,2,0,3,1,7,5,8,2,8,2,3,201,2,8
NIPBL,2369,1143,76,1933,977,1811,3165,1526,3465,5391,2601,1884,2012,1730,4083
RNF180,0,0,0,0,79,6,0,49,4,0,0,0,0,0,0
ADGRV1,13,34,0,62,509,20,39,6,121,53,92,17,27,14,30
SLC25A46,1701,1649,61,1832,723,1784,1846,613,2651,2718,2757,2442,2151,1536,1825
STARD4,682,1414,16,1281,838,933,2460,959,2189,1850,1429,1760,2574,708,1314
PGGT1B,1596,482,39,801,228,996,868,372,1132,1508,1394,168,718,737,737
F2RL2,1,0,1,36,0,1,175,38,1188,123,115,7,0,14,1586
CCDC112,400,88,16,557,50,306,308,103,455,443,605,19,392,102,305
ANKRD33B,842,882,12,24,411,770,374,234,539,314,410,2104,2211,104,1134
CMBL,0,0,0,0,6,0,0,178,218,0,1,0,0,0,398
C5orf63,1,75,4,1,41,0,0,0,28,6,1,0,1,69,39
PRRC1,876,385,41,907,204,394,887,403,2405,2274,1378,563,699,498,2445
F2RL1,0,0,0,0,0,1,408,288,336,26,20,0,0,1,126
AGGF1,437,635,28,928,165,286,1134,443,1058,1551,1586,651,217,623,804
WDR41,729,370,24,1355,215,711,622,314,1703,1081,1219,1983,1154,783,1010
PRDM9,0,1,0,0,0,0,0,0,0,0,6,0,0,1,0
NDUFS4,448,508,25,913,141,520,1066,521,1427,888,1433,318,665,189,888
SCGB3A2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SPINK1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
HTR4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
ESM1,0,0,0,0,0,0,0,231,48,3,0,0,1,0,5
GRPEL2,615,514,11,449,157,403,445,277,726,897,1044,569,870,449,519
CDC20B,1,6,0,0,0,0,3,0,2,5,1,1,2,0,0
ARSK,131,67,5,189,35,64,95,86,1088,207,218,115,117,73,594
RHOBTB3,31,51,17,737,121,3,32,920,11233,972,1006,1482,6,7,10149
GPX8,5,1,0,0,2,0,0,331,4842,5,6,0,1,0,3589
TIGD6,119,83,2,152,22,44,119,133,291,302,255,117,115,53,237
SPZ1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
SERINC5,1442,35,58,1595,28,36,2684,133,565,7612,5481,107,120,1117,729
ENPP6,0,0,0,0,0,0,2,0,0,1,0,7,0,0,5
CAGE1,4,18,0,2,1,8,2,0,11,14,1,10,8,3,0
CASP3,356,630,44,973,329,400,1463,450,1586,1106,1004,1377,1043,689,889
PRIMPOL,73,135,4,344,56,182,345,139,336,641,584,356,526,216,208
ERAP1,2279,2426,41,2130,502,1275,1699,1018,2074,3362,1099,2547,3246,966,2441
ERAP2,1197,3698,8,1760,438,1209,406,1143,1119,2315,1075,1319,550,269,169
CMYA5,4,5,1,32,4,12,18,1,72,146,43,15,11,3,234
EGFLAM,0,8,0,0,0,0,0,2,15,0,0,0,1,0,62
CFAP97,811,968,27,1374,347,923,1002,752,1457,2050,2120,1194,1462,1160,1207
TMEM174,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
CARTPT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
RICTOR,1064,488,59,1158,333,1002,2270,1035,2169,2931,1542,987,1574,733,2498
TENT2,959,387,36,951,303,1200,1343,564,1099,1906,1317,976,1183,782,1335
EBF1,845,0,0,0,111,479,8,9,76,73,16,128,799,302,44
ANKRA2,70,176,8,92,33,100,188,184,360,319,199,365,136,55,276
UBLCP1,10,124,12,357,128,263,297,212,563,670,196,256,539,242,793
FAM170A,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
UTP15,882,891,18,829,274,893,574,216,717,1056,1308,607,1225,675,453
TLR3,5,0,0,17,6,0,6,22,21,67,6,1,4,51,66
KLKB1,2,0,0,1,1,0,7,0,0,52,0,0,2,0,4
NSA2,1291,1420,77,1951,767,1242,1723,692,1783,1950,2678,1047,3204,1037,1067
GFM2,745,1036,44,1287,420,690,1081,660,1827,1507,2041,764,1990,723,1076
TERT,113,9,3,813,27,294,12,34,1,238,1063,32,183,674,0
SLC6A18,7,0,0,3,0,8,0,0,0,3,1,0,1,8,0
CCDC127,383,124,5,345,32,355,288,169,581,598,714,353,365,399,503
FOXQ1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,88
LINC01600,0,0,0,1,0,0,0,0,0,3,10,0,0,0,1
ADGRF2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
ACSL6,0,0,1,13,0,0,2,0,0,201,271,2,1,1,1
IL3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CSF2,0,12,0,0,0,0,85,3,6,0,0,0,2,0,1
SEPTIN8,305,313,31,1065,254,3,453,518,3439,2286,1393,238,1258,88,2632
SHROOM1,3,67,0,2,11,20,1,23,136,5,2,90,0,7,191
GDF9,255,396,10,427,56,153,442,249,675,515,647,295,727,221,214
UQCRQ,1107,1437,65,1588,273,556,1476,911,2851,1575,2227,988,2367,800,948
LEAP2,63,13,0,50,2,21,58,10,46,134,55,37,48,55,69
GJB7,48,15,0,33,4,14,53,18,12,72,47,15,38,13,22
SLC35A1,134,41,2,99,11,81,115,57,175,152,163,57,156,116,123
GRIK2,0,4,0,4,0,0,2,2,482,0,12,0,8,0,255
CGAS,3,681,0,170,111,8,420,36,250,3,1,545,13,0,225
FABP7,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
TLX3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
TXLNB,371,0,0,1,4,121,3,19,10,42,16,2,353,70,48
CITED2,342,72,1,42,85,98,177,137,2319,115,71,284,214,109,2174
CALHM4,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
TBXT,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
CREBRF,289,137,2,122,23,180,416,554,962,336,83,277,245,127,1187
DCBLD1,142,356,6,194,22,60,192,298,1640,265,327,167,133,50,938
SFXN1,1503,998,34,1529,323,1004,3394,543,2346,3604,2142,1696,3259,1462,1546
SAMD3,0,0,0,0,5,0,30,12,71,7,1,0,0,1,40
TMEM200A,0,1,0,0,136,0,158,567,1855,4,2,0,1,8,1092
IL22RA2,0,0,0,0,0,0,0,0,0,4,0,0,5,1,0
DACT2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDSS2,209,243,8,235,21,202,143,81,391,389,349,162,497,205,422
SPATA48,69,0,0,0,0,18,0,0,0,0,0,0,102,12,0
STXBP5,503,550,18,586,69,360,570,372,3070,1075,722,421,832,411,3469
H2AC1,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0
IL31RA,0,0,0,0,0,0,4,522,47,21,3,3,0,0,79
ANKRD55,0,0,0,0,0,1,0,8,13,2,1,0,1,2,26
RAET1E,2,0,0,8,0,0,1,151,8,32,1,0,1,0,37
PI16,1,1,0,0,0,127,11,2,2,1255,1009,0,20,2,5
TBX20,4,0,0,1,0,0,1,0,8,0,0,5,1,35,0
DAGLB,290,138,8,287,40,282,310,110,807,508,538,157,456,178,1019
MATCAP2,50,94,6,134,8,103,311,74,412,653,327,305,250,83,265
STK17A,1114,634,26,593,394,698,956,1281,3113,2373,1273,1783,2866,918,1831
TRA2A,898,686,34,759,246,1258,1118,331,1779,1518,1253,901,1440,792,1759
FAM183BP,2,0,0,0,0,1,0,0,0,5,1,0,2,0,2
GALNT10,723,199,7,623,96,385,403,1032,4914,977,514,544,716,275,5041
SAP30L,275,185,8,330,44,233,662,172,919,1162,530,685,257,163,738
RPS14,21734,18753,223,19473,2166,13579,10857,6960,16883,16211,24186,18363,19643,7705,7800
HCN1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MYOZ3,2,0,0,1,0,2,4,0,5,41,23,0,5,1,16
COG5,202,100,2,112,10,61,51,46,65,60,104,65,98,76,251
NEUROD6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
BMT2,204,43,8,364,41,63,344,151,724,450,211,464,199,204,452
GPR85,0,14,2,118,0,0,9,11,160,2,1,0,2,6,141
SLU7,725,507,17,806,249,565,1314,768,1447,1204,1645,575,916,429,1091
RP9,265,103,4,241,22,159,187,64,291,287,308,84,497,110,217
PTTG1,687,796,18,1155,232,1059,1390,391,1244,1663,2638,733,1628,1293,502
CAMLG,528,582,12,586,73,631,665,328,983,796,915,546,1020,350,596
BMPER,9,0,0,0,0,66,0,5,522,3,1,0,0,0,225
RELL2,406,52,1,125,15,113,199,328,286,435,1122,161,589,772,186
SMAD5-AS1,29,15,0,14,5,48,38,13,38,79,12,41,29,19,41
KCNK5,0,835,4,374,15,2,1239,0,1,637,544,593,2,1,1
KIF6,1,72,0,0,1,4,30,9,3,111,45,0,1,0,0
ZNF12,431,346,13,856,168,570,875,337,913,1421,973,472,956,447,770
SLC29A4,3,1,0,100,0,3,30,5,264,465,230,2,3,26,176
TEX47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
STEAP1,0,5,0,112,14,1,0,66,81,0,133,0,0,0,36
CDCA7L,1655,4,48,2446,192,2527,2223,347,839,3364,6613,1186,2415,1293,435
SP8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
MIOS,905,766,33,828,351,872,1051,220,825,815,1215,1351,3602,396,589
ELAPOR2,483,1,0,8,5,0,9,266,34,510,882,458,4,959,93
USP49,796,251,6,506,66,727,525,111,239,2236,953,695,521,427,465
INTS4P1,26,0,0,12,0,12,2,7,14,33,20,17,5,8,3
SYTL3,116,95,0,13,26,55,306,111,62,15,1,524,28,53,86
IQUB,2,7,0,1,0,4,1,2,9,21,8,2,5,2,5
HEY1,0,5,0,0,15,5,1,32,36,6,12,9,81,0,17
ZNF704,1,0,0,32,0,1,39,29,1,43,49,0,1,1,1
FABP5,765,1943,3,1211,49,1214,670,101,346,1201,1984,1967,2404,1300,25
SHH,1,0,0,0,0,7,5,1,2,3,6,0,0,4,1
TAGAP,2149,213,0,9,15,840,320,0,0,425,37,18,1375,280,5
COL1A2,138,0,21,0,79,0,0,1,217046,171,330,0,0,1,183649
FNDC1,0,1,0,0,0,0,0,0,3,0,0,0,1,4,3
CHMP4C,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SLC13A4,28,1,0,43,1,29,27,71,40,88,13,102,22,11,111
PGAM2,208,41,2,68,5,249,72,58,82,172,53,103,113,100,109
BRI3,196,64,7,168,31,176,236,291,877,369,183,509,241,63,1077
LMTK2,1118,204,10,857,104,374,454,271,725,1116,755,911,764,484,784
SLC35G3,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0
CTSB,514,147,2,756,35,145,744,3153,12068,1213,788,669,164,182,14352
SOX17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEPTIN7P5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DLC1,9,60,0,1,4,1,0,1395,10410,14,105,83,2,0,14336
ADCY1,22,26,0,47,0,4,8,19,15,514,585,11,4,6,22
C8orf48,0,6,0,0,0,1,0,2,72,0,0,4,0,0,54
SUN3,1,0,0,5,0,0,1,1,1,1,0,0,0,1,3
C7orf57,1,1,0,9,0,0,0,0,1,1,0,0,0,1,0
HNF4G,0,1,0,0,13,1,0,0,0,1,6,0,0,0,0
PEX2,650,1199,19,599,121,225,647,287,974,994,1335,856,971,416,696
RAD21,2597,2787,244,6488,1208,3303,10039,1580,3807,10950,12956,7140,4608,2910,3998
SLC30A8,1,1,0,0,1,1,1,0,0,6,8,3,0,1,0
MED30,229,317,11,282,21,151,337,86,145,557,531,300,213,115,73
TNFRSF11B,4,0,0,0,5,0,0,42,8009,9,10,0,7,0,13484
SBSPON,28,15,0,4,1,4,24,5,9,74,33,56,15,19,23
PHKG1,351,272,10,431,21,285,241,229,510,370,479,245,633,101,369
EN2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
KCNV1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSMD3,0,0,0,1,0,0,0,500,1,0,0,0,53,0,0
SPIDR,931,353,15,502,113,727,1021,311,1054,1527,1056,1001,1391,659,1581
ORC5,877,266,13,713,126,765,335,165,575,583,705,627,1067,679,352
DEFA5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNAAF5,427,188,5,597,68,623,322,222,365,728,688,322,1159,326,548
DEFA4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
DEFA6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
OSGIN2,564,561,21,447,106,303,504,224,479,850,994,608,937,327,402
DEFB1,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0
SUN1,1105,900,22,1280,157,1258,1961,1312,4293,1816,2116,1306,2313,735,3930
OXR1,550,517,33,873,219,816,830,431,1280,1062,729,549,969,495,888
TMEM74,0,32,0,30,4,0,0,3,0,61,50,1,0,0,3
GPR146,58,41,0,200,0,81,36,7,16,115,106,109,82,112,37
GPER1,267,63,0,88,10,281,55,14,122,150,142,192,262,134,100
UNCX,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
TMEM184A,148,147,6,216,12,153,113,140,599,584,685,123,249,305,693
NOS3,5,0,5,387,2,0,30,78,0,235,225,0,237,5,4
SPAG11B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MICALL2,15,573,2,10,0,14,112,176,1114,207,251,158,0,9,1594
CA3,1,2,0,0,0,1,0,1,0,2,2,8,1,0,0
INTS1,1101,470,18,1448,190,1515,1026,1286,2058,3454,3339,1324,2185,1207,3038
CDK5,79,102,4,235,21,112,210,108,369,506,512,204,236,103,188
SLC4A2,1328,169,15,1457,88,842,894,538,3372,1432,1046,1049,869,609,2488
SLC7A13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
FASTK,827,242,6,779,79,531,671,304,1776,1033,480,1090,927,761,1078
TMUB1,330,99,2,556,42,242,263,137,457,516,276,368,424,222,179
FMC1,30,19,0,39,2,23,18,4,9,20,19,17,25,12,8
GBX1,1,0,0,0,0,0,0,0,0,2,4,1,0,0,0
PHAX,1130,793,16,588,238,311,643,322,1935,677,1014,378,1046,363,1252
ALDH7A1,1,0,0,0,55,2,0,718,1803,2,1,1,9,1,1318
FOXK1,2415,1270,24,1666,223,1466,900,913,3086,2202,2536,1844,2959,468,4315
COX6C,2124,3459,80,5001,613,2693,3917,1003,3203,3876,3996,2896,4765,2280,1465
OSR2,119,0,0,12,11,0,2,1,55,31,18,0,0,30,115
YWHAZ,4991,5310,308,5644,1563,4309,12132,3222,13231,12599,7559,7536,10132,4162,12579
BAALC,8,6,0,3,0,3,3,0,929,65,13,7,0,1,138
FZD6,769,879,43,544,21,18,1033,627,4565,1035,809,266,6,219,2657
CTHRC1,56,0,0,136,4,23,3,110,3112,105,437,17,9,15,3245
SLC25A32,1539,1321,47,1123,210,1639,650,455,1721,1348,1451,1122,2133,981,1009
DCAF13,2162,2833,58,2063,387,2094,1864,961,2629,2742,4147,2042,2853,1837,1575
DCSTAMP,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
TP53INP1,480,150,3,69,75,283,741,352,1671,528,110,333,32,278,1684
INTS8,1476,1327,71,1085,266,1188,1186,542,1513,2296,1960,1303,1820,1128,1018
VIRMA,1211,1508,41,1247,348,990,1778,1124,3093,2383,2133,1558,2820,990,2236
FREM1,0,0,0,0,0,0,0,4,2,0,0,0,1,0,1
GEM,0,1299,0,39,43,3,124,347,1166,6,27,1305,4,0,874
PDP1,233,167,8,885,33,226,1425,3481,1494,846,746,116,498,195,1099
TMEM67,179,128,7,174,36,95,345,106,249,581,348,134,282,70,371
WASHC5,812,520,25,727,198,554,715,413,1800,1351,1269,1277,1123,491,1981
RPP25L,229,216,3,373,38,119,183,89,188,332,379,207,346,117,104
FAM219A,169,5,1,120,6,71,109,289,439,351,124,264,164,69,494
C9orf24,7,0,0,5,0,5,3,2,6,16,2,10,0,4,12
SNAPC3,1023,594,11,827,243,628,1227,432,1956,2441,1515,965,936,756,1564
MYORG,121,5,1,88,2,152,109,35,56,167,104,29,133,148,78
NUDT2,113,320,7,252,38,49,281,116,460,407,518,338,219,94,211
TMEM65,426,176,20,1048,14,445,899,420,1029,1040,717,424,451,539,1184
PSIP1,1710,1777,92,2205,3084,2206,5108,1281,2184,3799,4632,3293,2492,2008,1670
CCDC171,170,100,12,177,47,635,309,1,168,1416,1035,446,240,615,191
UBAP1,391,220,12,435,123,311,456,307,949,708,458,310,520,296,887
DIRAS2,0,0,0,0,0,1,0,0,0,2,68,1,0,0,1
SYK,4274,8,0,2,71,4002,4,10,4,2125,3128,1965,4420,2616,3
NIPSNAP3B,20,1,0,5,2,29,0,5,16,21,9,1,43,73,31
ABCA1,419,0,0,4,0,1644,3,1151,3275,116,389,2,193,1110,5971
NFIL3,95,20,1,94,10,70,773,205,1217,622,362,203,180,38,1227
LETM2,54,14,1,46,12,31,111,45,136,137,40,290,14,16,397
METTL2B,1575,298,15,793,143,437,431,341,877,975,963,585,906,490,543
PRKACG,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
FXN,233,123,7,152,70,139,168,42,172,232,233,142,201,108,150
ZMAT4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NKX6-3,0,0,0,0,0,372,0,0,0,0,0,0,0,192,0
TMEM71,2,0,4,98,0,1,110,55,8,67,53,0,0,0,28
MAMDC2,5,2,0,11,1,8,2,6,420,41,21,36,3,16,210
PRSS37,9,0,0,3,0,5,1,6,1,4,0,2,0,1,0
CPA6,0,0,0,0,0,0,0,0,23,0,0,0,8,0,4
C8orf34,0,0,0,0,0,0,3,0,23,1,23,1,1,0,12
TMC1,0,0,0,0,0,1,0,3,8,1,0,0,1,0,13
ALDH1A1,1,0,0,0,0,0,0,2,2,0,12,0,1,2,1
KDM1B,731,408,6,247,46,713,246,152,528,639,853,426,1621,524,560
HGSNAT,329,138,1,157,52,286,385,238,2321,761,184,260,66,207,3598
RASEF,0,0,0,0,0,6,1,5,4,318,308,0,0,0,1
GKAP1,83,11,1,60,18,80,56,45,36,264,115,138,24,28,37
KIF27,85,71,8,248,46,10,416,77,149,668,371,160,18,83,130
C9orf64,3,90,1,123,20,1,176,0,124,249,337,214,1,33,285
HNRNPK,9902,10023,369,11887,2840,8253,11102,4303,17213,15149,17424,10039,12908,7971,10346
SSMEM1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SVEP1,15,3,1,3,0,2,1,0,4454,33,24,126,1,3,31187
TRPV6,0,0,4,221,0,0,15,0,0,21,3,1,1,1,0
LLCFC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANKS6,244,51,5,807,49,274,287,278,662,1349,1063,546,479,259,751
FBP1,23,0,0,0,0,0,0,0,0,0,0,0,0,1,0
PGAP4,0,0,0,2,0,1,0,0,517,1,0,0,0,1,714
ZHX1,544,972,33,803,156,613,785,179,1525,1174,852,1502,775,458,1118
CFAP47,222,1,0,511,15,21,7,0,0,12,8,0,271,5,0
CYBB,1048,6,0,1,129,1007,0,5,0,2,0,0,4376,21,0
DYNLT3,3,162,0,1,18,209,284,255,1428,0,1,164,491,208,719
METTL27,4,4,0,1,0,5,11,84,27,8,6,13,9,0,31
MID1IP1,350,1204,13,1389,95,711,1269,0,721,1197,733,384,690,513,574
NCF1C,545,0,0,1,11,1058,0,0,0,0,0,0,770,295,0
SHOC1,17,8,1,35,3,7,38,11,149,158,38,109,21,16,369
CXorf58,8,5,1,19,2,4,14,3,8,18,8,6,12,12,3
KIAA1958,387,31,5,579,85,448,738,107,74,1962,645,281,380,358,148
PTCHD1,1,0,0,1,0,55,1,0,0,4,0,3,0,0,1
RNF183,2,9,0,0,0,0,0,1,0,4,3,1,0,2,0
ASB11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
PCDH19,0,0,0,0,0,0,12,0,2,107,24,0,2,0,0
PIGA,252,175,5,477,99,185,427,119,209,514,468,348,449,187,108
VEGFD,0,0,0,7,0,9,0,1,3,0,0,4,0,0,7
OR1Q1,0,0,0,0,0,0,0,0,1,5,0,0,0,0,3
OR1K1,0,1,0,1,0,0,2,0,0,10,9,1,2,3,7
STRBP,3523,513,77,2593,467,3282,2138,238,309,2932,3389,705,3297,3734,268
CLDN3,1,1,0,0,0,1,0,0,2,2,0,4,1,0,8
GAPVD1,1904,611,31,920,181,808,1748,919,2583,3030,2286,1241,2211,977,2894
CARD19,114,67,1,66,19,68,423,350,495,178,188,96,156,57,263
WNK2,567,2,0,0,0,509,0,0,0,174,182,1,12,853,0
ATP7A,457,132,5,177,37,246,431,97,1696,892,475,428,318,147,1645
ZNF367,617,278,27,523,175,471,925,108,269,1290,543,1075,657,455,141
NLGN4Y,0,129,0,0,0,0,1,0,0,1,0,131,24,2,0
HDX,0,18,0,0,10,1,1,23,147,0,1,0,0,0,281
NDUFB6,614,638,9,1153,67,503,923,280,1341,994,1496,520,829,513,459
AQP7,0,3,0,2,0,0,0,0,1,1,0,0,2,0,0
NOL6,2119,746,48,1564,260,1482,482,573,1947,1778,1765,1027,1764,974,1489
AQP3,110,0,17,353,0,1,9,0,96,1002,700,255,0,154,90
TRMT10B,87,44,4,180,41,184,198,85,210,432,304,207,206,154,248
VCP,5954,5891,126,7223,940,4118,6274,3139,16956,7541,11070,5724,12152,2718,13092
PIGO,478,247,7,544,45,417,348,260,575,932,684,455,434,215,751
STOML2,1415,1338,37,2558,336,844,1332,958,1977,2187,3507,686,3412,766,1152
BRWD3,870,343,27,849,168,717,1187,623,994,1803,990,1878,1357,799,1596
SLITRK5,311,7,2,3,24,3,11,285,7,2,12,2,351,1,446
MELK,649,778,43,1181,443,678,1615,386,1256,2056,2267,1420,1503,529,691
ARMC3,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0
OTUD1,76,20,1,51,1,25,90,63,125,116,91,97,41,0,178
ARHGAP12,494,252,8,418,122,289,1104,703,1781,633,458,315,900,278,1590
FAT3,1,0,0,0,0,0,0,0,530,14,6,4,0,0,77
DEUP1,0,0,0,1,0,1,0,0,0,10,0,3,16,0,1
HECTD2,69,110,6,81,40,1,39,92,712,337,170,236,188,5,646
SLC7A3,0,0,1,1,0,507,0,0,0,0,1,0,0,193,0
FBXO33,330,273,23,456,128,267,807,166,704,917,820,595,300,342,371
INTS6L,288,298,8,234,89,406,457,14,314,854,738,926,458,371,333
GPR101,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
CLDN2,1,0,0,0,0,0,4,1,17,3,0,3,0,0,26
LRFN5,0,0,0,0,0,0,0,0,97,1,0,0,1,2,77
LRRC18,120,1,6,125,3,182,0,0,0,12,12,0,210,117,0
SPTSSA,337,475,9,253,102,227,341,138,725,293,126,435,536,276,410
WRN,912,614,21,1166,185,1413,1323,332,1045,2320,2181,1586,661,637,1093
MARCHF8,80,15,1,85,18,128,172,72,197,204,170,51,157,105,137
TSHR,46,4,1,36,0,37,3,0,1,1488,605,31,6,18,17
CFL2,189,118,2,89,50,401,153,483,4073,218,86,198,1037,372,2143
SUGT1,2544,1073,63,1483,543,1574,1484,733,2680,2822,2621,1862,2181,1552,2287
GTF2A1,1124,571,74,1166,212,796,717,450,1683,2061,1969,966,1323,1000,1311
ZCCHC24,27,10,0,9,0,1,102,354,1486,94,73,128,83,2,2720
PGM2L1,114,9,8,471,37,0,919,108,435,1150,661,78,9,86,278
PHYHIPL,0,12,0,0,0,0,0,1,22,0,1,2,0,0,0
SLC16A9,1,310,0,233,34,1,7,22,12,29,129,473,1,0,7
FOLR2,14,0,0,2,0,0,1,0,0,1,0,0,24,76,0
INPPL1,1115,422,16,771,130,932,937,1005,3413,1130,502,900,1671,728,4141
PHOX2A,7,0,0,3,1,6,8,4,7,11,2,9,12,1,3
MBL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GJB2,0,0,0,0,3,0,446,1,1,3,0,45,1,1,0
CRYL1,14,44,0,33,16,1,164,140,151,272,185,73,50,1,164
REEP3,354,177,10,331,65,172,399,386,2494,680,170,379,322,133,1984
HEPACAM,0,0,0,2,0,0,2,1,0,30,27,0,0,0,6
SKA3,314,171,13,535,138,341,428,57,372,1191,857,539,561,349,198
MICU2,764,637,52,1018,225,661,1238,592,1504,972,1168,737,947,506,952
DDIAS,425,244,11,595,87,540,486,70,284,888,818,387,399,466,147
PCF11,2677,829,38,1765,436,2012,2315,333,1400,3727,2707,1480,2564,1748,1349
PKNOX2,0,0,0,0,1,0,1,0,98,0,1,0,1,0,363
RPL10L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRR1,500,558,23,805,112,510,652,151,492,1256,1522,642,876,554,212
RPL36AL,2081,2970,32,3174,397,3080,4064,1002,4751,2337,6995,2921,3857,2526,2538
DNAAF2,391,255,5,410,49,280,362,142,271,452,641,301,694,336,268
DEPP1,51,215,0,4,48,4,9,107,730,21,8,0,376,2,725
MAGEC3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ZNF22-AS1,11,19,0,214,8,5,20,2,31,263,360,8,20,1,35
ZNF22,739,488,71,1783,432,310,1509,263,687,2610,2417,558,1033,436,484
KLHDC2,865,503,27,787,190,607,7003,605,1663,1619,1941,1118,859,570,1374
EML5,1054,304,20,621,34,199,627,145,2322,1311,867,486,756,494,431
NEMF,1788,977,59,1375,437,937,2356,853,2885,2289,2401,2039,2138,1110,2686
RPUSD4,586,723,16,628,103,461,622,282,561,775,946,429,847,362,375
ARF6,1152,1274,43,1332,392,1232,3323,1159,4149,2680,2898,3197,1594,894,2499
TTC8,72,83,3,156,14,81,172,164,1022,268,212,216,217,51,610
TMEM63C,26,12,1,8,5,204,9,0,0,79,141,20,170,12,0
NGB,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
NOXRED1,16,8,0,9,1,29,18,6,8,32,27,15,10,10,20
CDX2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMER2,0,14,0,0,0,1,0,0,0,0,0,10,4,0,0
AKR1E2,0,0,1,0,0,0,0,0,39,284,253,0,0,0,24
KBTBD6,636,226,11,643,94,93,261,172,723,804,621,168,453,379,447
SSX5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSX3,0,0,0,0,0,1,0,611,0,0,0,0,0,0,0
OTX2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
FAAH2,1,64,1,3,5,2,0,0,1,105,69,190,1,0,18
DRGX,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
NUDT5,1452,1160,58,1295,342,758,1396,1176,1456,2276,2658,1226,2979,1149,1275
